# ffraud fraudulent networks. Small/medium ASNs where the IPs we OBSERVED were
# overwhelmingly abusive AND proxy/VPN. This reflects observed traffic, not a legal
# judgment of the operator. Corrections: https://ffraud.com/report . No sources named.
asn,organization,ips_observed,abuse_rate_pct,proxy_rate_pct,ffraud_risk_score
37127,Visafone Communications Limited - Visafone Communications Limited,565,100.0,100.0,100
266842,HNHOSTING.NET S.A.,404,100.0,100.0,100
29503,JSC Ratmir-ADS,331,100.0,100.0,100
62172,AIRBYTES COMMUNICATIONS Limited,263,100.0,100.0,100
8343,Private joint-stock company (PrJSC) DORIS,259,100.0,100.0,100
202793,AVANTEL-NJC JSC AVANTEL,245,100.0,100.0,100
274558,AS274558 - A5X SA,234,100.0,100.0,100
401650,888 Ventures LLC,1137,100.0,99.9,100
32693,NEXX,971,100.0,99.9,100
63440,TELNYX LLC,495,100.0,99.8,100
34868,2342 Verwaltungs GmbH,273,100.0,99.6,100
16321,Aiconet Ltd.,479,99.6,99.6,100
22772,Login  Inc.,1433,100.0,99.6,100
24670,Coherent Technology Solutions Limited,238,100.0,99.6,100
10973,Scatter Creek InfoNet  Inc.,213,100.0,99.5,100
395898,TND  LLC,542,95.9,99.4,100
60187,London Grid for Learning Trust,338,100.0,99.4,100
48494,BUKO LTD,931,99.9,99.2,100
19557,CHANGEIP COM,251,100.0,99.2,100
208981,Data Center LLC,234,99.1,99.1,100
133120,Hosted Network Pty Ltd,465,100.0,99.1,100
201151,InterMAX Regional Networks LLC,230,100.0,99.1,100
49088,TELMEKOM SRL,214,100.0,99.1,100
216067,BHS Solutions GmbH,258,100.0,98.8,100
48399,Svyaz VSD LLC,245,99.6,98.8,100
56541,KOMETA LLC,284,100.0,98.6,100
196786,IP Yashutkin Andrei Vladimirovich,583,99.5,98.5,100
47397,Base Ltd.,632,100.0,98.4,100
6282,Fiber Optical Network LLC,252,100.0,98.4,100
201907,LLC SPUTNIK,683,100.0,98.4,100
32709,Joink  LLC,698,99.9,98.3,100
22006,PRONSS,343,99.7,98.3,100
50174,Intexcom OOO,908,99.6,98.2,100
43530,Limited Liability Company Irtelcom,3674,99.6,98.2,100
399989,ULTRA ONE,507,99.8,98.2,100
154455,AYUSHMATI LOGITECH PRIVATE LIMITED,502,99.2,98.2,100
272042,Garay Diego Sebastian,223,97.8,98.2,100
204595,UUS PROGRAMM,318,99.7,98.1,100
271942,CV HOTSPOT  S.R.L.,524,100.0,98.1,100
60286,Agency-KA Ltd.,206,99.5,98.1,100
140807,Nguyen Ngoc Thanh Trading Limited Company,1023,97.9,98.0,100
64476,Shadow SAS,596,99.8,98.0,100
25591,BCLan LLC,2149,100.0,98.0,100
3598,Microsoft Corporation,339,100.0,97.9,100
15930,WIPLINE  LLC,284,98.9,97.9,100
47759,POIG Ltd.,880,99.3,97.7,100
395111,KVCHOSTING.COM LLC,2233,100.0,97.7,100
39735,Permtelecom Ltd,649,98.9,97.7,100
12357,VODAFONE ESPANA S.A.U.,293,99.7,97.6,100
152460,Greenhost BV,208,99.5,97.6,100
204161,Alexey Geiner,956,99.6,97.6,100
52043,LLC Multiservice,1236,99.8,97.4,100
51018,Shabaka Sfn Al-Haditha for General Trading & Information Technology LTD.,3413,98.9,97.4,100
44678,INKO Ltd.,452,99.1,97.3,100
57842,UralKonnektServis LLC,222,100.0,97.3,100
57753,Radist LTD,255,99.2,97.3,100
29588,Ivstar Ltd,360,100.0,97.2,100
48120,Flash Telecom LLC,271,99.3,97.0,100
61431,TELECOMMUNICATION COMPANY KAMA - LINK LLC.,494,99.4,97.0,100
197960,LIMITED LIABILITY COMPANY INTERNET SERVICE PROVIDER MEGA,422,99.1,96.9,100
203938,Samuel Cosgrove,484,99.8,96.9,100
58309,Langate Ltd,2175,99.4,96.9,100
39785,Axioma  LLC,1051,99.3,96.8,100
37349,Aptus Solutions Ltd,1046,99.6,96.7,100
51511,LLC Teleradio Company Traide-Express,246,100.0,96.7,100
210078,INFORM-HOLDING LTD.,274,99.3,96.7,100
59574,Limited Liability Company SKS Telecom,390,99.0,96.7,100
51069,Volodymyr Shtark,1289,98.7,96.7,100
35729,ViaCloud WLL,328,99.4,96.6,100
42387,Limited Company Svyazservice,1265,99.7,96.6,100
49588,SDS-Vostok Ltd.,2144,99.6,96.6,100
25589,IPv6 Informatica S.L.,204,100.0,96.6,100
49711,Flynet Ltd,551,99.6,96.6,100
328140,INSIST NET Limited,203,99.5,96.6,100
15493,Russian company LLC,1764,98.7,96.5,100
64429,DDS Service LLC,602,99.0,96.5,100
22302,INOC  LLC,372,99.2,96.5,100
394838,City of Loveland  Colorado,280,100.0,96.4,100
199008,IP Gasanov Farhad Urujbekovich,280,99.3,96.4,100
402215,Devology Tech LLC,219,100.0,96.3,100
37334,JASCO CONVERGED SOLUTIONS (Pty) Ltd,757,99.3,96.3,100
28773,Global Technologies of Ukraine LLC,729,99.7,96.3,100
197757,Ivan Bulavkin,675,99.6,96.3,100
47562,Fast Link Ltd,913,99.8,96.3,100
59478,LLC IP SERVICE,935,99.9,96.3,100
44552,Altura ltd.,610,99.7,96.2,100
35816,Lancom Ltd.,6187,99.5,96.2,100
264133,TX WEB TELECOM LTDA,284,98.9,96.1,100
62728,VELOCITY  A MANAGED SERVICES COMPANY,386,99.7,96.1,100
27712,Paulo Dias de Araujo Filho,565,99.1,96.1,100
207023,Centrix Web Services LLC,357,98.3,96.1,100
37515,iConnectSA (Pty) Ltd,229,100.0,96.1,100
33218,Belzoni Cable  LLC,304,99.7,96.1,100
62440,PLAZMATELEKOM LLC,1221,98.1,96.0,100
6700,TELEKOM SRBIJA a.d.,370,99.5,95.9,100
44078,Skyline Electronics Ltd.,342,100.0,95.9,100
38934,Pride Limited company,650,99.7,95.8,100
60822,Wispone S.R.L.,261,100.0,95.8,100
43714,Production co-operative Economic-legal laboratory,806,99.9,95.8,100
204144,Comfort XXI Century Ltd.,2745,99.7,95.8,100
199707,HONGKONG XING TONG HUI TECHNOLOGY CO.  LIMITED,424,100.0,95.8,100
41750,Mega-Line Ltd.,5404,98.9,95.7,100
49759,SerDi TeleCom  LTD,304,99.3,95.7,100
264744,WIFITELECOM,418,99.8,95.7,100
197831,Telekom Ltd,580,100.0,95.7,100
264681,Sociedad de Telecomunicaciones Netsouth SPA,531,99.8,95.7,100
57013,Eurasia-Star LLP,2897,99.6,95.6,100
396919,Shadow,385,99.5,95.6,100
48683,Bilink LLC,1162,99.9,95.5,100
43764,LLC Electron-sevlush,1851,99.6,95.5,100
47204,MCS LLC,512,99.6,95.5,100
28972,M-SOFT  spol. s r.o.,267,99.3,95.5,100
196767,INMART.UA LLC,2257,99.7,95.5,100
270320,X NET,351,97.2,95.4,100
56876,Ociris GmbH,217,99.5,95.4,100
39488,Kleynkom LLC,238,99.6,95.4,100
42714,Kichkas Network Ltd.,513,99.0,95.3,100
49814,TomGate LLC,583,99.8,95.2,100
41302,KVS Ltd,995,99.7,95.2,100
266852,SOCIEDAD PIRQUE NET LIMITADA,206,99.5,95.1,100
16178,Logosoft   information engineering and Internet providing,1171,99.8,95.1,100
