# ffraud high-abuse networks. Small/medium ASNs where the IPs we OBSERVED were
# overwhelmingly abusive AND proxy/VPN. This reflects observed traffic, not a legal
# judgment of the operator. Corrections: https://ffraud.com/report . Derived from our own honeypot and community signals.
asn,organization,ips_observed,abuse_rate_pct,proxy_rate_pct,ffraud_risk_score
37127,Visafone Communications Limited - Visafone Communications Limited,565,100.0,100.0,100
266842,HNHOSTING.NET S.A.,404,100.0,100.0,100
29503,RATMIR-MOSCOW-AS,331,100.0,100.0,100
8343,DORIS-AS,259,100.0,100.0,100
202793,AVANTEL-NJC,245,100.0,100.0,100
274558,AS274558 - A5X SA,234,100.0,100.0,100
62172,AIRBYTES,264,99.6,100.0,100
32693,NEXX,971,100.0,99.9,100
401650,888 Ventures LLC,1138,100.0,99.8,100
63440,TELNYX LLC,495,100.0,99.8,100
34868,2342 Verwaltungs GmbH,273,100.0,99.6,100
10973,Scatter Creek InfoNet  Inc.,215,99.1,99.5,100
22772,Login  Inc.,1438,99.9,99.4,100
16321,AICONET-AS,480,99.8,99.4,100
19557,CHANGEIP COM,253,100.0,99.2,100
48494,MKNET-AS,941,99.7,99.1,100
208981,DPC24,234,99.1,99.1,100
395898,TND  LLC,554,96.6,99.1,100
60187,LGFL-AS,342,99.4,98.8,100
204595,Uus Programm O�,336,96.4,98.8,100
48399,AS-LINXDATACENTER,246,99.6,98.8,100
24670,COHTECH01-AS,240,100.0,98.8,100
49088,TELMEKOM-AS,234,96.2,98.7,100
133120,Hosted Network Pty Ltd,467,99.6,98.7,100
201907,TOV-BITIORA,1063,94.9,98.7,100
56541,KOMETA-AS,285,100.0,98.6,100
263833,DIGITAL SAVIO S.A.,205,94.6,98.5,100
196786,ASMITEL,602,97.3,98.5,100
32709,Joink  LLC,777,95.5,98.5,100
43530,IRTELCOM-AS,3851,98.9,98.2,100
140807,Nguyen Ngoc Thanh Trading Limited Company,1085,98.0,98.2,100
22006,PRONSS,354,99.4,98.0,100
15930,WIPLINE-AS,300,95.3,98.0,100
272042,Garay Diego Sebastian,245,93.5,98.0,100
47397,BASE-AS,671,99.1,97.9,100
271942,CV HOTSPOT  S.R.L.,525,100.0,97.9,100
25591,BCLan Networks,2178,99.8,97.8,100
3598,Microsoft Corporation,352,98.0,97.7,100
399989,ULTRA ONE,510,99.8,97.6,100
29588,IVSTARNET-AS,379,97.4,97.6,100
44678,TVT-NET,479,96.2,97.5,100
51018,SSAH_AS,3648,96.0,97.5,100
47759,POIG-AS,910,98.5,97.5,100
154455,AYUSHMATI LOGITECH PRIVATE LIMITED,547,95.1,97.4,100
22302,INOC  LLC,427,91.8,97.4,100
3233,National Institute for Research and Development in Informatics - ICI Bucharest,382,90.6,97.4,100
57753,Radist-AS,267,98.1,97.4,100
395111,KVCHOSTING.COM LLC,2241,100.0,97.4,100
35729,VIACLOUD-AS,341,98.2,97.4,100
57842,UralKonnektServis-AS,224,99.6,97.3,100
328140,INSIST NET Limited,217,96.3,97.2,100
50174,INTEXCOM-AS,968,99.2,97.2,100
52043,TAIGET-AS,1314,97.6,97.2,100
64476,BLADE,616,99.2,97.1,100
12357,SPAIN,298,99.7,97.0,100
51511,TRADE-EXPRESS-AS,262,97.7,96.9,100
39785,AXIOMA,1112,97.8,96.9,100
204161,TRITEL-MSK-204161,997,99.6,96.9,100
37349,Aptus Solutions Ltd,1064,99.3,96.8,100
39735,RU-Permtelecom,701,96.6,96.7,100
59478,IPSERVICE-AS,1001,96.5,96.7,100
42387,SSERV-AS,1304,98.2,96.6,100
64429,OPTIKNET-AS,647,96.4,96.4,100
60822,WISP1,304,95.1,96.4,100
394838,City of Loveland  Colorado,302,97.7,96.4,100
197757,Ivan Bulavkin,675,99.6,96.3,100
25589,ipv6informatica,216,98.6,96.3,100
49711,FLYNET,590,95.9,96.3,100
33218,Belzoni Cable  LLC,319,97.8,96.2,100
199008,TVSPUTNIK-AS,290,97.9,96.2,100
15493,Russian company LLC. Internet Service Provider  Tyumen,1815,98.6,96.2,100
210078,INFORMHOLDING-AS,288,97.2,96.2,100
59574,AS-STUPINO-NET,418,97.6,96.2,100
396919,Shadow,414,96.4,96.1,100
62728,VELOCITY  A MANAGED SERVICES COMPANY,437,94.5,96.1,100
35467,DDF-AS,231,94.4,96.1,100
27712,Paulo Dias de Araujo Filho,590,98.0,96.1,100
264133,TX WEB TELECOM LTDA,326,93.6,96.0,100
5598,NETLUX-AS,200,99.0,96.0,100
6700,TELEKOM SRBIJA a.d.,375,98.9,96.0,100
47204,MCS-AS,550,98.2,96.0,100
62440,PLAZMATELEKOM-AS,1298,95.6,96.0,100
47562,FastLink,968,97.1,96.0,100
49814,Internet Service Provider  Tomsk  Russia,642,95.6,96.0,100
35816,Sevastopol  Russia,6626,97.8,95.9,100
41750,AS-MEGALINE-KG,5603,98.0,95.9,100
37515,iConnectSA (Pty) Ltd,241,98.8,95.9,100
34241,NCT-AS,311,96.1,95.8,100
44552,Erth,619,99.4,95.8,100
6282,Fiber Optical Network LLC,259,99.2,95.8,100
196767,INMART1-AS,2387,96.7,95.7,100
44078,ICN-AS,374,97.6,95.7,100
57013,EURASIA-STAR-AS,3196,95.2,95.7,100
197831,DISKUS-AS,619,96.8,95.6,100
61431,VOLS-AS,525,96.4,95.6,100
263372,RODRIGUES & SARMENTO LTDA,273,94.5,95.6,100
60286,STEPNET-KZ-AS,227,94.7,95.6,100
43714,EPL-AS,861,96.4,95.6,100
200525,HOSTING-UKRAINE-2,427,94.8,95.6,100
207023,centrixweb1,359,98.3,95.5,100
38934,Nizhnevartovsk  Russia,681,99.4,95.4,100
28972,Jihlava,282,97.5,95.4,100
267401,MAGIC WINDOWS LTDA,278,99.3,95.3,100
48120,FLASHTELECOM-AS,296,95.9,95.3,100
47553,Customer Network,507,90.9,95.3,100
16178,Logosoft d.o.o.,1240,98.2,95.2,100
28111,Grupo Solunet SRL,2272,92.0,95.2,100
263351,MICRON SERVICOS DE TECNOLOGIA EIRELI,395,96.5,95.2,100
38932,Rimex,202,98.5,95.0,100
48683,BI-LINK-AS,1249,97.0,95.0,100
41302,MART-AS,1065,95.9,95.0,100
49759,SERDI-AS,320,98.4,95.0,100
214268,ORANGE,740,95.8,95.0,100
44124,RYBNET-AS,236,95.8,94.9,100
264744,WIFITELECOM,429,98.8,94.9,100
263295,Seta Micros Ltda,233,91.4,94.8,100
42965,NETSERVICES-AS,767,91.1,94.8,100
35000,SEVEREN-TELECOM,608,98.5,94.7,100
48763,ERTH,284,99.6,94.7,100
197714,CITYLINE-RU,208,94.7,94.7,100
263042,DELTA TELECOM,547,92.7,94.7,100
39488,KLEYNKOM-AS,260,95.4,94.6,100
50289,WELLCOM-L,1375,98.0,94.5,100
37110,Moztel LDA,385,96.6,94.5,100
39089,UGLETELECOM-AS,237,99.6,94.5,100
149428,Code200  UAB,683,97.7,94.4,100
58309,LANGATE LLC,2289,98.6,94.4,100
57332,TOM-NET-AS,231,99.6,94.4,100
29319,ASN-IMSYS,443,96.6,94.4,100
48614,ITSOFT-AS,583,100.0,94.3,100
