# ffraud confirmed-abusive IPs, from our own honeypot sensors and community reports. Each confirmed 2+ independent times, ffraud_score>=50.
# category = worst observed threat (c2/malware/botnet/brute_force/web_attack/scanner/phishing/spam/abuse).
# type = infrastructure when known (proxy/vpn/tor/datacenter/mobile), blank otherwise.
# ffraud_score 0-100 is our own score; confirmations = how many independent times we observed the abuse. Updated daily.
ip,ffraud_score,confirmations,category,type
80.82.77.33,95,40,c2,proxy
2.57.121.25,95,36,c2,proxy
193.46.255.86,95,34,c2,proxy
2.57.121.112,95,34,c2,proxy
80.94.92.171,95,34,c2,proxy
80.94.92.168,95,33,c2,proxy
2.57.122.238,95,33,c2,proxy
213.209.159.56,95,31,c2,proxy
207.90.244.5,95,29,c2,
207.90.244.25,95,29,c2,
185.246.130.20,95,27,c2,proxy
207.90.244.3,95,27,c2,
207.90.244.20,95,27,c2,
45.148.10.121,95,26,botnet,
207.90.244.22,95,25,c2,
207.90.244.21,95,25,c2,
87.251.64.176,95,15,c2,
154.117.199.5,95,15,botnet,
94.154.35.215,95,10,c2,
216.57.110.81,94,40,c2,proxy
86.54.31.38,94,39,c2,
89.248.167.131,94,39,c2,proxy
86.54.31.34,94,38,c2,
152.32.132.28,94,37,c2,proxy
152.32.226.205,94,36,c2,proxy
80.94.92.184,94,36,c2,proxy
101.36.104.242,94,36,c2,proxy
192.42.116.142,94,36,c2,tor
192.42.116.16,94,35,c2,tor
192.42.116.111,94,35,c2,tor
80.94.92.182,94,34,c2,proxy
120.241.79.66,94,34,c2,
80.94.92.186,94,34,c2,proxy
192.42.116.92,94,34,c2,tor
89.185.81.112,94,33,c2,proxy
193.32.162.151,94,33,c2,proxy
213.209.159.158,94,32,c2,proxy
193.32.162.145,94,32,c2,proxy
176.32.193.16,94,32,c2,
192.42.116.47,94,31,c2,tor
94.35.140.5,94,31,c2,
80.82.70.133,94,30,c2,
85.217.140.53,94,30,c2,
172.105.69.26,94,30,botnet,
172.235.168.35,94,30,botnet,
139.162.186.99,94,29,botnet,proxy
207.90.244.13,94,29,c2,
185.156.73.233,94,29,c2,
139.162.173.209,94,29,botnet,proxy
45.148.10.157,94,28,c2,proxy
45.148.10.152,94,28,botnet,proxy
172.104.241.98,94,28,malware,
45.148.10.141,94,27,c2,proxy
207.90.244.2,94,27,c2,
45.148.10.147,94,26,c2,proxy
207.90.244.27,94,26,c2,
45.148.10.151,94,25,botnet,proxy
207.90.244.10,94,25,c2,
146.190.153.30,94,25,botnet,
172.235.181.217,94,25,botnet,
172.235.181.226,94,24,botnet,
5.187.35.26,94,24,c2,
64.225.74.178,94,23,c2,
137.184.13.100,94,23,botnet,
209.38.70.156,94,23,botnet,
204.76.203.6,94,22,c2,
5.187.35.142,94,22,c2,
77.90.185.16,94,22,c2,
130.12.180.51,94,19,c2,
193.32.162.28,94,19,c2,
178.83.200.2,94,19,c2,
178.83.200.3,94,19,c2,
18.189.74.1,94,18,botnet,
34.197.70.90,94,18,botnet,
34.228.104.231,94,18,botnet,
18.119.209.50,94,18,botnet,
77.90.185.52,94,17,botnet,
87.251.64.158,94,17,c2,
45.142.193.6,94,17,botnet,
31.56.209.38,94,17,botnet,
176.65.148.58,94,16,botnet,
77.90.185.234,94,15,botnet,
178.16.54.226,94,14,c2,
185.246.128.133,94,13,botnet,
179.43.133.154,94,11,c2,
192.42.116.48,93,42,c2,tor
86.54.31.32,93,40,c2,
192.42.116.13,93,39,c2,tor
125.20.210.182,93,38,c2,
93.174.95.106,93,38,c2,proxy
185.211.94.76,93,38,c2,
192.42.116.20,93,38,c2,tor
107.189.24.77,93,37,c2,proxy
152.32.192.176,93,37,c2,proxy
85.239.151.41,93,37,c2,proxy
192.42.116.14,93,37,c2,tor
192.42.116.106,93,37,c2,tor
79.76.58.113,93,37,c2,
192.42.116.145,93,36,c2,tor
190.2.135.111,93,35,botnet,proxy
192.42.116.62,93,35,c2,tor
101.47.158.137,93,35,c2,proxy
101.47.8.187,93,35,c2,
192.42.116.68,93,35,c2,tor
192.42.116.19,93,34,c2,tor
180.76.172.156,93,34,c2,
37.120.213.13,93,34,c2,
45.91.64.6,93,33,c2,
150.107.38.251,93,32,c2,
168.222.140.218,93,32,c2,proxy
192.42.116.65,93,32,c2,tor
185.38.148.2,93,32,c2,
85.217.140.9,93,31,c2,
112.18.182.202,93,31,c2,
117.175.140.121,93,31,c2,
217.154.173.63,93,31,c2,proxy
5.101.64.6,93,31,c2,
93.123.109.214,93,31,c2,
31.132.90.3,93,30,c2,
194.87.216.198,93,30,c2,
37.123.193.103,93,30,c2,
45.148.10.183,93,30,c2,proxy
85.217.140.36,93,30,c2,
85.217.140.49,93,30,c2,
114.220.75.156,93,30,c2,
141.98.83.240,93,29,c2,proxy
213.209.159.175,93,28,c2,
2.59.22.234,93,28,botnet,
85.217.140.42,93,28,c2,
45.91.64.7,93,28,c2,
35.240.174.82,93,28,botnet,proxy
178.128.84.133,93,28,botnet,
172.104.241.92,93,28,botnet,
45.139.122.80,93,28,c2,proxy
85.217.140.43,93,28,c2,
85.217.140.13,93,28,c2,
45.148.10.240,93,27,c2,
64.23.214.73,93,27,c2,
85.217.140.44,93,27,c2,
46.151.178.13,93,27,c2,
216.250.116.225,93,27,botnet,
185.113.10.179,93,26,c2,
147.185.132.66,93,26,c2,
20.116.59.164,93,26,botnet,
92.118.39.236,93,26,c2,
85.217.140.45,93,26,c2,
85.217.140.23,93,26,c2,
85.217.140.32,93,26,c2,
45.156.87.253,93,26,c2,
151.243.150.23,93,25,c2,
85.217.140.22,93,25,c2,
45.153.34.112,93,25,c2,
139.19.117.130,93,24,c2,
45.148.10.200,93,24,c2,
147.185.132.15,93,24,c2,
167.71.239.213,93,24,botnet,
147.185.132.126,93,24,c2,
164.92.106.15,93,24,c2,
85.217.140.20,93,24,c2,
176.65.139.140,93,23,c2,
45.153.34.97,93,23,c2,
185.177.72.10,93,23,c2,
147.185.132.231,93,23,c2,
147.185.132.243,93,23,c2,
193.111.117.35,93,23,c2,
147.185.132.30,93,23,c2,
147.185.132.64,93,23,c2,
137.184.32.56,93,22,botnet,
103.203.57.2,93,22,c2,
143.198.238.87,93,22,botnet,
147.185.132.195,93,22,c2,
143.198.225.197,93,22,botnet,
24.199.126.56,93,22,botnet,
94.26.106.229,93,22,c2,
164.92.82.91,93,22,botnet,
45.95.147.229,93,22,c2,
143.110.239.2,93,22,botnet,
45.142.193.8,93,21,c2,proxy
91.148.190.150,93,20,c2,
45.142.193.10,93,20,c2,proxy
100.49.117.77,93,20,c2,
176.65.139.43,93,20,c2,
89.248.163.200,93,20,c2,
172.94.9.253,93,20,botnet,
141.11.21.145,93,19,botnet,
77.83.240.70,93,19,c2,
35.169.206.177,93,18,botnet,
45.205.1.23,93,18,c2,
18.190.15.50,93,18,botnet,
45.148.10.230,93,17,c2,
45.142.193.12,93,17,c2,proxy
85.11.167.11,93,16,botnet,
160.119.76.4,93,16,botnet,
45.142.193.169,93,16,botnet,
77.90.185.235,93,15,botnet,
77.90.185.43,93,15,botnet,
176.65.148.70,93,15,botnet,
176.65.148.92,93,15,botnet,
176.65.148.29,93,11,abuse,
192.42.116.98,92,42,c2,tor
94.102.49.193,92,40,c2,
192.42.116.102,92,39,c2,tor
80.82.77.139,92,39,c2,
192.42.116.96,92,39,c2,tor
192.42.116.97,92,38,c2,tor
175.200.104.40,92,37,c2,
147.45.50.147,92,37,c2,proxy
212.73.217.80,92,36,c2,proxy
138.68.243.18,92,36,botnet,proxy
192.42.116.52,92,36,c2,tor
88.151.33.203,92,36,c2,proxy
192.42.116.144,92,36,c2,tor
107.155.48.46,92,36,c2,
185.65.202.199,92,36,c2,proxy
45.82.13.133,92,36,c2,proxy
5.253.59.171,92,36,c2,proxy
77.105.161.28,92,35,c2,proxy
192.42.116.99,92,35,c2,tor
192.42.116.66,92,35,c2,tor
192.42.116.55,92,35,c2,tor
192.42.116.101,92,35,c2,tor
115.191.32.57,92,35,c2,
192.42.116.61,92,35,c2,tor
192.42.116.115,92,35,c2,tor
192.42.116.54,92,35,c2,tor
95.59.142.69,92,35,c2,
192.42.116.143,92,35,c2,tor
192.42.116.67,92,35,c2,tor
192.42.116.21,92,35,c2,tor
192.42.116.93,92,35,c2,tor
79.72.3.119,92,34,c2,proxy
192.42.116.100,92,34,c2,tor
82.24.64.32,92,34,c2,proxy
95.215.0.144,92,34,c2,
91.92.42.88,92,34,c2,
109.248.170.188,92,34,c2,proxy
222.89.169.98,92,34,c2,
118.196.56.74,92,34,c2,
192.42.116.117,92,34,c2,tor
143.20.49.38,92,34,c2,
192.42.116.104,92,34,c2,tor
110.35.80.116,92,34,c2,
103.118.28.17,92,34,c2,
71.6.135.131,92,33,c2,
116.99.49.208,92,33,c2,
212.127.90.201,92,33,c2,
45.43.37.254,92,33,c2,proxy
192.42.116.17,92,33,c2,tor
86.54.31.40,92,33,c2,
109.172.55.64,92,33,c2,proxy
189.51.43.54,92,33,c2,
192.42.116.15,92,33,c2,tor
212.227.235.203,92,33,botnet,proxy
176.112.128.143,92,32,c2,
152.32.174.171,92,32,c2,
143.14.124.172,92,32,c2,
172.245.16.13,92,32,botnet,
192.42.116.53,92,32,c2,tor
147.45.50.108,92,32,c2,proxy
192.42.116.64,92,32,c2,tor
89.23.113.208,92,32,c2,
117.164.191.217,92,32,c2,
77.83.246.97,92,32,c2,
217.154.92.76,92,31,c2,proxy
51.158.205.203,92,31,c2,
151.185.42.72,92,30,c2,
36.62.94.189,92,30,c2,
2.57.122.210,92,30,c2,proxy
45.227.254.170,92,29,c2,proxy
106.75.230.113,92,29,c2,
165.154.163.10,92,29,c2,
139.19.117.197,92,29,c2,proxy
187.190.35.163,92,29,botnet,
115.231.78.11,92,29,c2,proxy
216.194.172.68,92,29,botnet,
176.65.139.254,92,29,c2,proxy
85.217.140.34,92,29,c2,
98.172.97.239,92,28,c2,
176.65.132.17,92,28,c2,
85.217.140.18,92,28,c2,
176.65.132.24,92,28,c2,
147.185.132.78,92,28,c2,
195.178.110.102,92,28,c2,
220.197.14.60,92,28,c2,
217.114.43.160,92,28,c2,
85.217.140.11,92,27,c2,
45.165.148.70,92,27,c2,
80.94.95.211,92,27,c2,
91.224.92.17,92,27,c2,
118.218.219.250,92,27,c2,
91.92.33.248,92,27,c2,
85.217.140.30,92,27,c2,
139.19.117.129,92,27,c2,proxy
172.234.162.56,92,27,botnet,
118.70.182.193,92,26,c2,
109.105.211.2,92,26,c2,
185.242.226.17,92,26,c2,
20.9.81.163,92,26,botnet,
45.156.87.204,92,26,c2,
147.182.241.81,92,26,botnet,
147.185.132.159,92,26,c2,
4.228.83.111,92,26,botnet,
176.65.132.129,92,26,c2,
192.109.200.78,92,26,c2,
147.185.132.246,92,25,c2,
152.32.245.196,92,25,c2,
45.153.34.236,92,25,c2,
147.185.132.183,92,25,c2,
139.19.117.131,92,25,c2,
147.185.132.255,92,25,c2,
45.153.34.114,92,25,c2,
23.94.213.157,92,25,botnet,
164.92.114.247,92,25,c2,
85.217.140.24,92,25,c2,
45.135.193.157,92,24,c2,
45.156.87.254,92,24,botnet,
147.185.132.204,92,24,c2,
2.57.122.194,92,24,c2,proxy
85.217.140.37,92,24,c2,
192.253.248.169,92,24,c2,
65.49.1.132,92,24,c2,
147.182.202.179,92,24,c2,
161.132.4.167,92,24,c2,
147.185.132.99,92,24,c2,
147.185.132.138,92,24,c2,
147.182.247.10,92,24,botnet,
176.65.132.242,92,24,c2,
93.174.93.12,92,24,c2,
147.185.132.63,92,24,c2,
179.43.163.26,92,24,botnet,
20.9.31.235,92,23,botnet,
147.185.132.118,92,23,c2,
176.65.139.66,92,23,c2,
147.185.132.73,92,23,c2,
147.185.132.94,92,23,c2,
147.185.132.75,92,23,c2,
147.185.132.165,92,23,c2,
170.64.167.72,92,23,c2,proxy
147.185.132.115,92,23,c2,
147.185.132.213,92,23,c2,
147.185.132.76,92,23,c2,
147.185.132.207,92,23,c2,
147.185.132.91,92,23,c2,
64.23.161.101,92,23,c2,
147.185.132.48,92,23,c2,
147.185.132.31,92,23,c2,
147.185.132.37,92,23,c2,
147.185.132.219,92,23,c2,
176.65.132.153,92,22,c2,
185.91.127.85,92,22,c2,
64.89.160.135,92,22,c2,
77.90.185.97,92,22,c2,
66.198.225.21,92,22,c2,
87.121.84.147,92,22,c2,
198.74.59.236,92,21,botnet,
176.65.139.111,92,21,c2,
65.49.1.172,92,21,c2,
143.198.150.150,92,20,botnet,
192.109.200.18,92,20,botnet,
192.109.200.237,92,19,botnet,
52.20.198.190,92,19,c2,
89.248.163.61,92,19,c2,
78.128.114.58,92,19,c2,
45.142.154.10,92,18,c2,
172.93.106.153,92,18,botnet,
130.12.180.77,92,18,c2,
45.79.123.76,92,16,brute_force,
45.142.193.146,92,16,botnet,
45.142.193.9,92,15,c2,
172.232.253.221,92,13,brute_force,
88.210.63.190,92,11,scanner,
79.124.62.178,92,11,scanner,
195.178.110.188,92,11,scanner,
45.153.34.32,92,10,abuse,
101.255.3.70,92,7,c2,
192.42.116.12,91,40,c2,tor
45.84.107.174,91,40,c2,tor
192.42.116.58,91,39,c2,tor
118.26.111.107,91,39,c2,proxy
3.131.220.121,91,36,c2,proxy
45.84.107.54,91,36,c2,tor
192.42.116.94,91,35,c2,tor
45.156.24.224,91,35,c2,
18.116.101.220,91,34,c2,proxy
150.107.36.236,91,33,c2,
192.42.116.57,91,33,c2,tor
2.57.122.196,91,33,c2,proxy
85.111.68.99,91,33,c2,
94.16.115.121,91,33,c2,tor
83.229.8.197,91,33,c2,
103.168.66.237,91,33,c2,
81.226.129.67,91,32,c2,
65.49.1.202,91,32,c2,
109.236.50.3,91,32,c2,
130.49.189.41,91,32,c2,proxy
2.59.183.60,91,32,c2,proxy
3.130.168.2,91,32,c2,
180.93.32.67,91,31,c2,
85.217.140.51,91,31,c2,
101.96.200.105,91,31,c2,
65.49.1.24,91,31,c2,
94.26.106.206,91,31,c2,
159.65.91.36,91,31,malware,
192.42.116.44,91,31,c2,tor
129.150.47.234,91,31,c2,proxy
2.26.64.64,91,31,c2,
61.19.69.203,91,30,c2,
172.185.40.47,91,30,malware,
209.99.185.239,91,30,c2,
77.91.77.151,91,30,c2,
85.217.140.40,91,30,c2,
128.199.225.7,91,30,c2,proxy
192.42.116.95,91,30,c2,tor
34.122.222.227,91,30,c2,
198.163.207.24,91,29,c2,
65.49.1.108,91,29,c2,proxy
144.31.224.193,91,29,c2,proxy
147.45.50.171,91,29,c2,
193.202.11.112,91,29,botnet,proxy
85.217.140.10,91,29,c2,
168.144.95.207,91,29,c2,
85.217.140.26,91,29,c2,
101.47.16.134,91,29,c2,
94.102.49.155,91,29,c2,
2.57.217.229,91,29,c2,proxy
85.217.140.8,91,29,c2,
2.57.122.192,91,29,c2,proxy
85.217.140.41,91,29,c2,
85.217.140.47,91,29,c2,
85.217.140.50,91,28,c2,
85.217.140.12,91,28,c2,
65.49.1.66,91,28,c2,
176.65.139.130,91,28,c2,proxy
70.37.89.177,91,28,botnet,proxy
147.135.3.156,91,28,botnet,
85.217.140.19,91,27,c2,
147.185.132.97,91,27,c2,
147.182.225.86,91,27,c2,
147.185.132.177,91,27,c2,
85.217.140.28,91,27,c2,
152.32.134.89,91,27,c2,proxy
147.185.132.108,91,27,c2,
165.154.100.56,91,27,c2,
185.177.72.29,91,26,c2,
176.65.144.128,91,26,c2,
65.49.1.142,91,26,c2,
34.34.103.195,91,26,c2,
176.65.139.216,91,26,c2,
109.105.211.7,91,26,c2,
93.123.109.180,91,26,c2,
45.153.34.235,91,26,c2,
176.65.139.177,91,26,c2,
147.185.132.22,91,26,c2,
65.49.1.10,91,26,c2,
147.185.132.45,91,26,c2,
213.177.179.91,91,26,c2,
147.185.132.123,91,25,c2,
65.49.1.80,91,25,c2,
147.185.132.153,91,25,c2,
168.196.144.234,91,25,c2,
147.185.132.51,91,25,c2,
20.240.241.205,91,25,botnet,
65.49.1.232,91,25,c2,
85.217.149.71,91,25,c2,
65.49.1.122,91,25,c2,
176.65.139.253,91,25,c2,
196.188.168.148,91,25,c2,
195.178.110.42,91,25,c2,
47.236.233.226,91,25,botnet,
52.138.31.126,91,25,botnet,
45.198.224.5,91,24,c2,
87.58.199.37,91,24,c2,
147.185.132.180,91,24,c2,
62.171.168.149,91,24,c2,
147.185.132.168,91,24,c2,
2.57.122.190,91,24,c2,proxy
147.185.132.105,91,24,c2,
147.185.132.135,91,24,c2,
45.153.34.149,91,24,c2,
147.185.132.27,91,24,c2,
155.103.69.40,91,24,c2,
213.209.159.226,91,24,c2,
45.148.10.67,91,24,c2,
147.185.132.61,91,24,c2,
64.62.156.222,91,24,c2,
147.185.132.90,91,24,c2,
85.217.140.29,91,23,c2,
147.185.132.58,91,23,c2,
147.185.132.19,91,23,c2,
192.109.200.50,91,23,c2,
147.185.132.24,91,23,c2,
178.20.210.208,91,23,c2,
85.217.140.27,91,23,c2,
147.185.132.120,91,23,c2,
176.65.139.153,91,23,c2,
147.185.132.46,91,23,c2,
85.217.140.33,91,23,c2,
147.185.132.54,91,23,c2,
147.185.132.144,91,23,c2,
147.185.132.82,91,23,c2,
94.231.113.91,91,23,c2,
147.185.132.141,91,23,c2,
147.185.132.81,91,23,c2,
147.185.132.40,91,23,c2,
147.185.132.13,91,23,c2,
147.185.132.57,91,23,c2,
147.185.132.252,91,23,c2,
147.185.132.10,91,23,c2,
178.128.32.203,91,23,botnet,
147.185.132.171,91,23,c2,
147.185.132.36,91,23,c2,
147.185.132.150,91,23,c2,
147.185.132.69,91,23,c2,
147.185.132.162,91,23,c2,
147.185.132.70,91,23,c2,
85.217.140.14,91,22,c2,
2.57.122.195,91,22,c2,
45.63.4.69,91,22,botnet,
185.12.59.118,91,22,c2,
147.185.132.21,91,22,c2,
134.209.95.237,91,22,botnet,
92.118.39.196,91,22,c2,
65.49.1.152,91,22,c2,
45.156.87.99,91,22,c2,
165.154.138.34,91,22,c2,proxy
204.76.203.206,91,22,c2,
65.49.1.162,91,22,c2,
160.119.76.55,91,21,botnet,proxy
199.45.154.189,91,21,c2,
199.45.154.183,91,21,c2,
146.190.149.252,91,21,botnet,
199.45.154.187,91,21,c2,
45.198.224.22,91,21,c2,
199.45.154.184,91,20,botnet,
199.45.154.186,91,20,c2,
5.61.209.33,91,20,c2,
199.45.154.191,91,20,c2,
45.135.193.156,91,20,c2,
199.45.154.177,91,20,c2,
199.45.154.178,91,20,c2,
199.45.154.176,91,20,c2,
199.45.154.179,91,20,c2,
78.128.113.74,91,20,c2,proxy
199.45.154.181,91,20,botnet,
78.111.67.246,91,19,c2,
69.5.169.8,91,19,c2,
199.45.154.182,91,19,c2,
45.156.87.69,91,19,botnet,
65.49.1.143,91,19,c2,
216.25.89.80,91,19,c2,
86.54.31.36,91,19,c2,
195.178.110.204,91,19,c2,
199.45.154.188,91,18,botnet,
87.251.64.155,91,18,c2,
176.65.132.156,91,18,botnet,
176.65.139.95,91,18,botnet,
3.131.24.55,91,18,botnet,
199.45.154.180,91,18,botnet,
81.29.142.50,91,18,c2,
4.205.25.159,91,18,botnet,
199.45.154.185,91,18,botnet,
207.90.244.4,91,18,c2,
176.65.132.254,91,17,botnet,
65.49.1.181,91,17,c2,
87.251.64.157,91,17,c2,
160.119.76.41,91,17,botnet,
130.12.180.111,91,17,c2,
178.156.145.41,91,17,c2,
185.93.89.79,91,17,c2,proxy
176.65.148.2,91,15,botnet,
167.94.145.22,91,15,botnet,
167.94.145.24,91,14,scanner,
167.94.145.23,91,13,scanner,
167.94.145.30,91,13,scanner,
179.43.139.58,91,12,c2,
167.94.145.25,91,12,scanner,
87.121.84.40,91,12,botnet,
167.94.145.27,91,12,scanner,
199.30.231.6,91,11,abuse,
172.232.143.135,91,10,abuse,
45.142.193.22,91,10,scanner,proxy
124.198.131.220,91,8,abuse,
157.66.26.151,90,45,c2,proxy
203.55.81.1,90,45,c2,tor
185.246.188.74,90,44,c2,tor
45.84.107.101,90,43,c2,tor
45.84.107.76,90,43,c2,tor
103.210.22.17,90,42,c2,proxy
5.255.103.55,90,42,botnet,proxy
81.168.119.85,90,42,c2,vpn
45.84.107.198,90,41,c2,tor
192.42.116.110,90,41,c2,tor
45.84.107.74,90,40,c2,tor
192.42.116.50,90,40,c2,tor
45.84.107.128,90,40,c2,tor
192.42.116.51,90,40,c2,tor
203.55.81.2,90,40,c2,tor
80.67.167.81,90,40,c2,tor
45.84.107.182,90,40,c2,tor
45.84.107.47,90,39,c2,tor
84.47.150.125,90,39,c2,proxy
89.58.26.216,90,39,c2,tor
5.255.99.75,90,39,botnet,proxy
212.58.132.5,90,39,c2,proxy
71.6.146.186,90,39,c2,proxy
45.84.107.172,90,39,c2,tor
113.160.132.26,90,39,c2,proxy
220.80.223.144,90,38,c2,
78.142.18.172,90,38,c2,
192.42.116.107,90,38,c2,tor
89.234.157.254,90,38,c2,tor
64.188.77.26,90,38,c2,proxy
193.221.203.192,90,38,botnet,proxy
45.84.107.97,90,38,c2,tor
163.7.1.156,90,38,c2,proxy
192.76.153.253,90,38,botnet,tor
192.42.116.45,90,38,c2,tor
178.20.55.182,90,38,c2,tor
107.189.30.69,90,37,c2,tor
185.220.101.104,90,37,c2,tor
45.133.74.53,90,37,c2,tor
196.188.93.169,90,37,c2,
45.95.232.35,90,37,c2,proxy
45.84.107.222,90,37,c2,tor
192.42.116.60,90,37,c2,tor
115.248.8.65,90,37,c2,
192.42.116.118,90,37,c2,tor
66.240.219.146,90,37,c2,proxy
171.25.158.95,90,37,c2,proxy
82.114.228.67,90,37,c2,proxy
223.111.182.16,90,37,c2,vpn
121.178.185.141,90,37,c2,
43.252.231.122,90,37,c2,proxy
71.6.146.185,90,37,c2,
192.42.116.43,90,37,c2,tor
103.86.180.10,90,36,c2,
71.6.158.166,90,36,c2,
186.38.26.5,90,36,c2,
223.197.186.7,90,36,c2,
